sp_id1,gen
1467,Methylocaldum
1468,Francisella
1508,Allofrancisella
1509,Hydrogenovibrio
1511,Thiomicrospira
1514,Methylophaga
1516,Cycloclasticus
1519,Piscirickettsia
1520,Thioploca
1521,Beggiatoa
1522,Nitrosococcus
1525,Allochromatium
1526,Thiocystis
1527,Thioflavicoccus
1528,Marichromatium
1529,Candidatus Tenderia
1530,Candidatus Nitrosoglobus
1531,Thiodictyon
1532,Alkalilimnicola
1533,Halorhodospira
1535,Thioalkalivibrio
1540,Spiribacter
1542,Ectothiorhodospira
1543,Acidihalobacter
1544,Halothiobacillus
1546,Wenzhouxiangella
1547,Woeseia
1548,Granulosicoccus
1549,Hahella
1551,Chromohalobacter
1552,Halomonas
1565,Candidatus Portiera
1574,Candidatus Carsonella
1581,Candidatus Evansia
1582,Zymobacter
1583,Halotalea
1584,Cobetia
1585,Kushneria
1587,Alcanivorax
1592,Ketobacter
1593,Kangiella
1597,Marinomonas
1600,Thalassolituus
1602,Oleispira
1603,Marinobacterium
1604,Bacterioplanes
1605,Gynuella
1606,Reinekea
1607,Oleiphilus
1608,Aeromonas
1628,Tolumonas
1629,Oceanimonas
1630,Oceanisphaera
1632,Zobellella
1633,Dichelobacter
1634,Cardiobacterium
1635,Gilliamella
1636,Frischella
1637,Steroidobacter
1638,Solimonas
1639,Immundisolibacter
1640,Sulfuricaulis
1641,Sulfurifustis
1642,Acidiferrobacter
1643,Salinisphaera
1644,Thiolapillus
1645,Sedimenticola
1646,Candidatus Thioglobus
1649,Pseudohongiella
1650,Thiohalobacter
1651,Candidatus Ruthia
1653,unclassified sulfur-oxidizing symbionts
1654,Candidatus Baumannia
1657,unclassified Gammaproteobacteria
1659,Neisseria
1682,Snodgrassella
1683,Kingella
1684,Vitreoscilla
1686,Eikenella
1687,Simonsiella
1688,unclassified Neisseriaceae
1689,Chromobacterium
1695,Iodobacter
1696,Laribacter
1697,Pseudogulbenkiania
1698,Jeongeupia
1699,Aquaspirillum
1700,Aquitalea
1701,Ralstonia
1713,Cupriavidus
1725,Burkholderia
1814,Paraburkholderia
1817,Mycetohabitans
1830,Polynucleobacter
1834,Pandoraea
1846,Paucimonas
1847,Ephemeroptericola
1848,Lautropia
1849,Mycoavidus
1850,Bordetella
1873,Achromobacter
1882,Taylorella
1887,Pusillimonas
1889,Advenella
1891,Castellaniella
1892,Basilea
1893,Alcaligenes
1896,Paenalcaligenes
1897,Orrella
1898,Oligella
1899,Pigmentiphaga
1900,Rhodoferax
1904,Polaromonas
1907,Acidovorax
1918,Verminephrobacter
1919,Delftia
1923,Variovorax
1929,Comamonas
1933,Alicycliphilus
1935,Ramlibacter
1936,Candidatus Symbiobacter
1937,Ottowia
1939,Limnohabitans
1941,Hydrogenophaga
1944,Diaphorobacter
1945,Simplicispira
1946,Pulveribacter
1947,Melaminivora
1948,Serpentinomonas
1950,Methylibium
1952,Herminiimonas
1953,Janthinobacterium
1959,Herbaspirillum
1964,Candidatus Zinderia
1965,Collimonas
1968,Massilia
1974,Oxalobacter
1975,Undibacterium
1976,Sutterella
1977,Leptothrix
1978,Thiomonas
1980,Rubrivivax
1982,Roseateles
1983,Paucibacter
1984,Mitsuaria
1985,Rhizobacter
1986,Aquabacterium
1987,unclassified Burkholderiales
1990,Nitrosomonas
1996,Nitrosospira
1998,Sulfuritalea
1999,Methyloversatilis
2000,Thiobacillus
2001,Methylobacillus
2002,Methylotenera
2004,Methylovorus
2006,Candidatus Methylopumilus
2008,Methylophilus
2009,Sideroxydans
2010,Gallionella
2011,Sulfuricella
2012,Sulfuriferula
2013,Ferriphaselus
2014,Aromatoleum
2015,Azospira
2016,Rugosibacter
